Fayda,Bitkiler
Sindirim sistemi sağlığını destekler ve mide-bağırsak fonksiyonlarını düzenler,"Badem Yağı, Kuşburnu, Sakız Ağacı, Avrupa Yabani Zencefili, Kanada Yılan Otu, Kuyruklu Yılan Otu, Nane, At Nanesi, Tıbbi Nane, Küçük Çayır Düğmesi, Su Nanesi, Misk Adaçayı, Anadolu Kestanesi, Kekik, Tatlı Mercanköşk, Meyan Kökü, Kişniş, Kimyon, Rezene, Sedef Otu, Turunç, Yenibahar, Çemen, Sığla, Yabani Yam, Damla Sakızı, Beyaz Biber, Hardal Tohumu, Çayır Düğmesi, Adaçayı, Karanfil, Hardal, Hint Yağı Bitkisi, Akdiken, Keten Tohumu, Kroton Yağı, Kestane (Kabuk ve Yaprak), Sarı Hardal Tohumu, Kestane Yaprağı, Ceviz, Anadolu Adaçayı, Hayıt, Aslanpençesi, Meşe Kabuğu, Kestane, Testere Dişli Aslanpençesi, Mercanköşk, Kekik Yağı"
"Ağız ve diş sağlığını korur, enfeksiyon ve ağrıları hafifletir","Karadut Şurubu, Hardal, Nane, Asya Yabani Zencefili, Yenibahar, Siyah Hardal Tohumu, Karanfil, Sedef Otu, Sığla, Adaçayı, Beyaz Biber, Yabani Zencefil"
"Cilt sağlığını korur, doku yenilenmesini destekler ve yara iyileşmesini hızlandırır","Kuşburnu, İğde, Sakız Ağacı, Kanada Yılan Otu, Asya Yabani Zencefili, Üzüm, Eclipta (Yalancı Karatohum), Aslanpençesi, Sarı Kantaron, Pamuk, Tatlı Mercanköşk, Gümüşi Adaçayı, Centella Asiatica (Gotu Kola), Siyah Hardal Tohumu, Çemen, Sığla, Anadolu Adaçayı, Sığla Yağı, Çayır Düğmesi, Meşe Kabuğu, Kırmızı Yonca, Küçük Çayır Düğmesi, Büyük Kanotu, Adaçayı, Turnagagası, Avrupa Yabani Zencefili, Meşe Mazısı, Kekik, Çay Ağacı, Eşek Otu, Sophora Flavescens (Acı Kök), Hardal, Ceviz, Hayıt, Mercanköşk, Damla Sakızı, Cadı Fındığı, Beyaz Biber, Yabani Yam, Niasin, Tıbbi Aslanpençesi, Su Nanesi, Gotu Kola, Kafur, Kızıl Yonca"
Sinir sistemi sağlığını ve bilişsel fonksiyonları destekler,"Çam Sakızı, Hardal, Anadolu Adaçayı, Hayıt, Yabani Yam, Ginkgo Biloba, Küçük Çayır Düğmesi, Avrupa Yabani Zencefili, Asya Yabani Zencefili, Mercanköşk, Ceviz, Sığla Yağı, Niasin, Karabaş Otu, Kestane, Sakız Ağacı, Turnagagası, Adaçayı, Misk Adaçayı, Kafur, Tütsü, Sığla, Avrupa Yaban Değneği, Çin Yaban Değneği, At Nanesi, Su Nanesi, Yarpuz, Asya Yaban Değneği, İspanyol Adaçayı"
Hormonal dengeyi düzenler ve üreme sistemi sağlığını destekler,"Kuşburnu, Fındık Yağı, Çayır Üçgülü, Hayıt, Kızıl Yonca, Yenibahar, Çayır Düğmesi, Yabani Yam, Çemen Otu, Adaçayı, Avrupa Yabani Zencefili, Kanada Yılan Otu, Yarpuz, Su Nanesi, Küçük Çayır Düğmesi, Misk Adaçayı, Aslanpençesi, Kekik, Eşek Otu, Anadolu Adaçayı, Siyah Hardal Tohumu, Sedef Otu, Çemen, Cüce Palmiye, Rezene, Şevketibostan, Anason, Kişniş, Afşar Otu, Mercanköşk, Kestane, Tütsü, Testere Dişli Aslanpençesi, Kokar Sedef Otu, Bahçe Sedef Otu, Kanada Yaban Değneği (Asarum Canadense), Avrupa Yaban Değneği, Tarçın, Nane, Tıbbi Aslanpençesi, Kırmızı Yonca, Tıbbi Adaçayı"
Genel vücut sağlığını ve uzun ömürlülüğü destekler,Kabuk Zencefili
Negatif enerjiyi temizleyerek ortamın enerjisini arındırır,"Adaçayı, Pelin Otu, Sedir, Ardıç, Beyaz Adaçayı"
Vücudu toksinlerden arındırarak detoks etkisi sağlar ve kanı temizler,"Beyaz Dut Yaprağı, Beyaz Zerdeçal, Tıbbi Sülük, Yabani Yam, Kızıl Yonca, Kırmızı Yonca, Niasin"
Antienflamatuar ve antimikrobiyal koruma sağlayarak enfeksiyon riskini azaltır,"Misk Adaçayı, Aslanpençesi, Karanfil, Kekik, Mate, At Kestanesi, Tatlı Mercanköşk, Su Nanesi, Yenibahar, Mercanköşk, Sedef Otu, Beyaz Biber, Yabani Yam, Çemen Otu, Ceviz, Anadolu Adaçayı, Yabani Zencefil, Meşe Kabuğu, Çobanpüskülü, Hardal Tohumu, Kızıl Yonca, Kestane Yaprağı, Yeşil Ceviz Kabuğu, Fesleğen, Su Yamı, Dikenli Yam, Küçük Çayır Düğmesi, Tıbbi Nane, Afrika Sardunyası, Hint Yağı Bitkisi, Mersin, Çay Ağacı, Salvia Prionitis, Kanarya Adası Adaçayı, Salvia Albocaerula, Forsskål Adaçayı, Yünlü Adaçayı, Tıbbi Adaçayı, Fındık, Tarçın, Üzerlik, Sakız Ağacı, Avrupa Yabani Zencefili, Asya Yabani Zencefili, Hayıt, Kuyruklu Yılan Otu, Anadolu Kestanesi, Gümüşi Adaçayı, Salvia Blepharochlyna, Çok Saplı Adaçayı, Nane, Hardal, Sığla"
Hücreleri oksidatif strese karşı korur ve sağlıklı hücresel gelişimi destekler,"Yeşil Çay, Kekik, Fesleğen, Küçük Çayır Düğmesi, Dikenli Yam, Hava Patatesi, Misk Adaçayı, Anadolu Kestanesi, Karanfil, Tatlı Mercanköşk, Pasifik Porsuğu, Çay Ağacı, Su Nanesi, Fındık Yaprağı, Çemen, Sedef Otu, Hardal, Yenibahar, Ceviz, Anadolu Adaçayı, Hayıt, Sakız Ağacı, Karabaş Otu, Çobanpüskülü, Siyah Üzüm, Üzüm Çekirdeği Ekstraktı, Asya Yabani Zencefili, Himalaya Yılan Otu, Avrupa Yabani Zencefili, Kestane Yaprağı, Niasin, Kestane, Su Yamı, Aslanpençesi, Mate, Gümüşi Adaçayı, Ceviz (Yaprak ve Kabuk), Meşe Kabuğu, Yam, Seylan Tarçını, Sığla Yağı, Tatlı Patates, Beyaz Biber, Çemen Otu"
Kan şekeri seviyelerini düzenleyerek diyabet yönetimine yardımcı olur,"Çemen Otu, Kestane Yaprağı, Üzüm, Su Yamı, Hava Patatesi, Dikenli Yam, Aslanpençesi, Kekik, Tatlı Mercanköşk, Su Nanesi, Sedef Otu, Hardal, Ceviz, Anadolu Adaçayı, Biberiye, Tarçın, Çin Tarçını, Damla Sakızı, Yenibahar, Adaçayı, Niasin, Sakız Ağacı"
"Solunum sistemi sağlığını destekler, öksürük ve nefes darlığını hafifletir","Kestane Yaprağı, Avrupa Yabani Zencefili, Kanada Yılan Otu, Asya Yabani Zencefili, Misk Adaçayı, Anadolu Kestanesi, Kekik, Karanfil, Ebegümeci, Hatmi, Ihlamur, Mersin, Okaliptüs, Afrika Sardunyası, Tatlı Mercanköşk, Gümüş Adaçayı, Su Nanesi, Yenibahar, Karahindiba, Nane, Çemen, Hardal, Anadolu Adaçayı, Sedef Otu, Sığla, Yabani Yam, Damla Sakızı, Kekik Yağı, Nane Yağı, Kırmızı Yonca, Ceviz İç Zarı, Karabaş Otu, Kafur"
Vücut ağrılarını dindirir ve doğal analjezik etki sağlar,"Asya Yabani Zencefili, Himalaya Yılan Otu, Kuyruklu Yılan Otu, Tıbbi Nane, Yarpuz, Küçük Çayır Düğmesi, Su Nanesi, Yenibahar, Karanfil, Kekik, Nane, Sedef Otu, Nane Yağı, Kekik Yağı, Hardal Tohumu, Kafur"
"Kardiyovasküler sistemi destekler, tansiyon ve kolesterolü dengeler","Üzüm, Üzüm Çekirdeği Yağı, Kanada Yılan Otu, Avrupa Yabani Zencefili, Sakız Ağacı, Kekik, Su Yamı, Tatlı Mercanköşk, Siyah Hardal Tohumu, Mercanköşk, Çemen, Sedef Otu, Damla Sakızı, Seylan Tarçını, Yenibahar, Adaçayı, Niasin, Kestane, Yabani Yam, Sarımsak, Asya Yabani Zencefili, Baklagiller, Anadolu Kestanesi, Misk Adaçayı, Anadolu Adaçayı, Hardal Tohumu, Tarçın, Beyaz Biber, Çobanpüskülü, Yabani Zencefil, Siyah Üzüm, Kırmızı Şarap, Hardal, Mate, Turunç, Kırmızı Adaçayı, Ceviz, Kırmızı Yonca, Sarı Hardal Tohumu"
Karaciğer fonksiyonlarını destekler ve toksik maddelere karşı koruma sağlar,"Sakız Ağacı, Asya Yabani Zencefili, Aslanpençesi, Anadolu Kestanesi, Kekik, Karanfil, Tatlı Mercanköşk, Tıbbi Nane, Su Nanesi, Çemen, Ceviz, Enginar, Turnagagası, Fındık Yaprağı"
Böbrek ve boşaltım sistemi fonksiyonlarını destekler,"Aerva Lanata, Ammania Baccifera, Bergenia Ligulata, Boerhavia Diffusa, Bryophyllum Pinnatum, Crateva Nurvala, Costus Spiralis, Herniaria Hirsuta, Holarrhena Antidysenterica, Kekik, Taş Kıran Otu, Sakız Ağacı, Aslanpençesi, Hardal, Damla Sakızı, Meşe Kabuğu, Çayır Düğmesi, Kızıl Yonca, Turnagagası, Afşar Otu, Kanada Yılan Otu, Asya Yabani Zencefili, Yarpuz, Yeşil Nane, At Nanesi, Ihlamur, Frenk Kimyonu, Maydanoz, Kola, Çay, Melek Otu, Anadolu Adaçayı, Hayıt, Çemen, Sedef Otu, Çobanpüskülü, Yabani Zencefil, Çörek Otu, Seylan Tarçını, Tarla Aslanpençesi, Tüylü Fıtık Otu, İstanbul Kekiği, Taşkıran Otu"
Bağışıklık sistemini güçlendirerek vücut direncini artırır,"Ginseng, Üzüm Çekirdeği ve Kabuğu, Ceviz Polifenolleri, Fındık Yaprağı, Sarı Hardal Tohumu, Fındık Kabuğu, Yenibahar, Kekik, Turnagagası, Karanfil, Kafur, Niasin, Kestane, Çobanpüskülü"
Saç ve saç derisi sağlığını besleyerek gelişimini destekler,"Meşe Mazısı, Sarımsak, Soğan, Hibiskus, Çemen Otu, Üzüm, Asya Yabani Zencefili, Hardal, Ceviz Kabuğu ve Yaprağı, Karanfil, Mercanköşk, Misk Adaçayı, Su Nanesi, Cadı Fındığı, Damla Sakızı, Kekik Yağı, Nane Yağı"
"Sinir sistemini yatıştırır, stres ve anksiyete semptomlarını hafifletir","Misk Adaçayı, Ihlamur, Çarkıfelek, Kedi Otu, Şeytan Otu, Tatlı Mercanköşk, Sarı Kantaron, Beyaz Biber, Sığla Yağı, Hayıt, Adaçayı (Tütsü), Çemen Otu, Siyah Hardal Tohumu, Ak Hardal, Sarı Hardal Tohumu"
Vücut ısısını dengeleyerek ateşin düşürülmesine yardımcı olur,"Kanada Yılan Otu, Kuyruklu Yılan Otu, Asya Yabani Zencefili, Himalaya Yılan Otu, Anadolu Kestanesi, Kekik, Su Nanesi, Çemen, Söğüt, Kestane Kabuğu, Çobanpüskülü, Yabani Zencefil"
İskelet ve eklem sistemini güçlendirerek kemik sağlığını korur,"Su Yamı, Çayır Üçgülü, Karanfil, Kekik, Mercanköşk, Kestane, Yam, Kestane Yaprağı, Hardal, Anadolu Adaçayı, Yabani Yam, Meşe Kabuğu, Fındık Yağı, Yenibahar"
Kas gerginliğini ve spazmları gidererek fiziksel rahatlama sağlar,"Tıbbi Nane, Su Nanesi, Misk Adaçayı, Tarçın, Hardal, Aslanpençesi, Kekik, Rezene, Kimyon, Tatlı Mercanköşk, Mercanköşk, Kırmızı Yonca, Yenibahar"
Haşerelere karşı doğal koruyucu bariyer oluşturur,"Yarpuz, At Nanesi, Kafur, Hayıt, Mercanköşk, Tütsü"
Vücudun vitamin ve mineral dengesini destekler,Niasin
Uyku kalitesini artırarak uykusuzluk problemlerini giderir,"Üzüm, Vişne, Muz, Mısır, Ceviz, Yenibahar, Kekik, Nane, Mercanköşk"
Laktasyon sürecini düzenleyerek anne sütü üretimini destekler,Bulunmamaktadır
Metabolizmayı hızlandırarak kilo kontrolüne yardımcı olur,"Hardal, Çemen Otu, Anadolu Adaçayı, Yenibahar, Karanfil, Beyaz Biber, Aslanpençesi"
Göz sağlığını ve fonksiyonlarını destekler,"Adaçayı Müsilajı, Kekik, Sedef Otu, Tatlı Patates, Jaborandi"
Hemoroid semptomlarını hafifletir,"Sığla, Tarçın"
Gebelik sonlandırıcı (abortifasient) etki gösterir,Yarpuz
Vücuda enerji verir ve fiziksel yorgunluğu giderir,"Anadolu Kestanesi, Çay, Kola, Koka, Ginseng, Beyaz Biber"
Antiparaziter koruma sağlayarak iç parazitlerle mücadele eder,"Sakız Ağacı, Kanada Yılan Otu, Asya Yabani Zencefili, Yarpuz, Yeşil Nane, Su Nanesi, Ceviz Kabuğu, Kıvırcık Nane, Nane, Deniz Pelini"
Lenf sistemi sağlığını destekler,Kırmızı Yonca
"Ağız ve diş sağlığını korur, ağız hijyeni sağlar","Asya Yaban Değneği, Nane, Sarımsak, Yarpuz, Kanada Yaban Değneği (Asarum Caudatum), Avrupa Yaban Değneği, Çin Yaban Değneği, Himalaya Yaban Değneği, Kafur, Tarçın, Yabani Zencefil, Tıbbi Nane"
Ağrı dindirici ve analjezik etki sağlar,"Anadolu Adaçayı, Kanada Yaban Değneği (Asarum Caudatum), Çin Yaban Değneği, Himalaya Yaban Değneği, Asya Yaban Değneği, Bahçe Nanesi, Hindistan Bektaşi Üzümü, Kafur, Kızıl Yonca, Nane, Nane Yağı, Bahçe Sedef Otu, Su Nanesi, Yalancı Şahtere, Yarpuz, Aslanpençesi (Alchemilla filicaulis), Aslanpençesi, Aslanpençesi (Alchemilla woodii), Afşar Otu, Çörek Otu, Çayır Düğmesi Kökü, Yabani Zencefil, Mercanköşk, Avrupa Yaban Değneği, Kanada Yaban Değneği (Asarum Canadense)"
Cilt sağlığını ve dokusunu destekler,"Adaçayı, Itır Otu, Kızıl Yonca, Mercanköşk, Tıbbi Aslanpençesi, Aslanpençesi, Çayır Üçgülü, Kafur, Nane Yağı, Çayır Düğmesi Kökü, Kırtıl Tetrasiklin"
Anti-enflamatuvar etkisiyle vücuttaki iltihabı azaltır,"Anadolu Adaçayı, Çin Yaban Değneği, Asya Yaban Değneği, Aslanpençesi, Bahçe Nanesi, Çörek Otu, Hibiskus, Hindistan Bektaşi Üzümü, Kafur, Mercanköşk, Kırtıl Tetrasiklin, Kızıl Yonca, Nane, Nane Yağı, Bahçe Sedef Otu, Sarımsak, Soğan, Su Nanesi, Tarçın, Yarpuz, Zerdeçal, Tıbbi Nane, Karabiber"
Antimikrobiyal ve enfeksiyon karşıtı koruma sağlar,"Anadolu Adaçayı, Afşar Otu, Avrupa Yaban Değneği, Çin Yaban Değneği, Asya Yaban Değneği, Aslanpençesi (Alchemilla Ellenbergiana), Turnagagası, Kafur, Kızıl Yonca, Mercanköşk, Nane, Bahçe Sedef Otu, Tarçın, Yabani Zencefil, Kanada Yaban Değneği (Asarum Caudatum), Su Nanesi"
Kan şekerini dengeler ve antidiyabetik destek sağlar,"Adaçayı, Aslanpençesi, Anadolu Adaçayı, Seylan Tarçını, Çemen Otu, Hibiskus, Tıbbi Nane, Mercanköşk, Bahçe Sedef Otu, Sarımsak, Soğan, Tarçın, Üzüm"
Antikanserojen etkilerle hücresel sağlığı korur,"Anadolu Adaçayı, Afşar Otu, Çin Yaban Değneği, Çemen Otu, Turnagagası, Kafur, Kızıl Yonca, Küçük Çayır Düğmesi, Su Nanesi, Tıbbi Nane, Mercanköşk, Sedef Otu, Sarımsak, Sarı Sabır (Sophora), Tarçın, Üzüm, Karabiber, Avrupa Yaban Değneği"
Kas spazmlarını ve krampları giderir (antispazmodik etki),"Aslanpençesi, Diş Otu, Şeytan Otu, Mercanköşk, Sedef Otu, Ihlamur, Su Nanesi, Nane, Tıbbi Nane"
"Ruh sağlığını destekler, stres ve anksiyeteyi hafifletir","Girit Mercanköşkü, Çoban Püskülü (Su ile Yıkama), Sedef Otu, Adaçayı, Nane, Okaliptüs, Çoban Püskülü, Kızıl Yonca, Mercanköşk, Tarçın, Zencefil, Üç Yapraklı Yonca, Kanada Yaban Değneği (Asarum Caudatum), Üzerlik, Aslanpençesi, Beyaz Adaçayı, Kafur, Sedir, Seylan Tarçını, Sarı Kantaron, Su Nanesi, Çarkıfelek, Bahçe Sedef Otu, Ihlamur, At Nanesi, Yarpuz, Tıbbi Nane, Çin Yaban Değneği"
Solunum yolu sağlığını destekler ve nefes almayı rahatlatır,"Anadolu Adaçayı, Afşar Otu, Çayır Düğmesi, Ebucehil Karpuzu, Okaliptüs, Ginkgo Biloba, Hibiskus, Çoban Püskülü, Kafur, Kızıl Yonca, Mercanköşk, Nane, Sedef Otu, Tarçın, Yalancı Şahtere, Yabani Zencefil, Avrupa Yaban Değneği, Asya Yaban Değneği, Avrupa Cezayir Menekşesi, Hatmi, Kanada Yaban Değneği (Asarum Canadense), Himalaya Yaban Değneği, Çayır Üçgülü, Ebegümeci, Mersin, Sarımsak, Soğan, Ihlamur, Yarpuz, Bal, Çin Yaban Değneği, Kara Hardal, Mentol, Tıbbi Nane"
Doğal haşere kovucu ve koruyucu etki sağlar,"Afşar Otu, At Nanesi, Turnagagası, Kafur, Mercanköşk, Tarçın, Neem, Yarpuz"
"Kas, eklem ve romatizmal ağrıları hafifletir","Anadolu Adaçayı, Nane, Yarpuz, Adaçayı, Kafur, Mercanköşk, Çoban Püskülü, Kızıl Yonca, Bahçe Sedef Otu, Söğüt Kabuğu, Çin Yaban Değneği, Asya Yaban Değneği, Himalaya Yaban Değneği, Kanada Yaban Değneği (Asarum Caudatum), Ak Söğüt Kabuğu, Avrupa Yaban Değneği, Kanada Yaban Değneği (Asarum Canadense), Su Nanesi, Tıbbi Nane, Siyah Hardal Tohumu, Karanfil, Sedef Otu, Kuşburnu, Şeytan Pençesi, Zencefil Kökü, Akgünlük, Kara Hardal"
Vücuttaki ödemin atılmasını sağlar ve boşaltım sistemini destekler,"Tarla Aslanpençesi, Yalancı Aslanpençesi, Aslanpençesi, Anadolu Adaçayı, Melek Otu, At Nanesi, Seylan Tarçını, Turunç, Çayır Düğmesi, Çoban Püskülü, Hibiskus, Kıvırcık Nane, Kızıl Yonca, Su Nanesi, Mercanköşk, Bahçe Sedef Otu, Sarımsak, Soğan, Ihlamur, Yabani Zencefil, Yarpuz, Çayır Üçgülü, Kanada Yaban Değneği (Asarum Canadense), Çin Yaban Değneği, Asya Yaban Değneği, Bahçe Nanesi"
"Kalp-damar sağlığını korur, tansiyon ve kolesterolü dengeler","Adaçayı, Çoban Püskülü, Tarçın, Anadolu Adaçayı, Baklagiller, Tüylü Nane, Sarımsak, Çemen Otu, Kanada Yaban Değneği (Asarum Canadense), Avrupa Yaban Değneği, Üzüm, Su Nanesi, Çin Yaban Değneği, Asya Yaban Değneği, Yohimbin"
Metabolizmayı düzenler ve kilo kontrolüne yardımcı olur,"Tıbbi Aslanpençesi, Kimyon, Mate, Yaban Nanesi, Zeytin, Karanfil, Hardal Tohumu, Yenibahar, Çemen Otu, Kanada Yaban Değneği (Asarum Canadense)"
Saç sağlığını destekler ve dökülmeyi önlemeye yardımcı olur,"Kore Melek Otu, Çin Yaban Değneği, Asya Yaban Değneği, Biberiye, Ebucehil Karpuzu, Çemen Otu, Yalancı Şahtere, Ginkgo Biloba, Hibiskus, Hindistan Bektaşi Üzümü, Lavanta, Nane, Sarımsak, Soğan, Sarı Sabır (Sophora), Üzüm Çekirdeği"
Toksinlere ve dış etkilere karşı vücudu korur,"Seylan Tarçını, Küçük Çayır Düğmesi, Nane, Sedef Otu, Su Nanesi, Yarpuz"
Cilt dokusunu onarır ve yara iyileşme sürecini hızlandırır,"Bal, Kanada Yaban Değneği (Asarum Canadense), Kanada Yaban Değneği (Asarum Caudatum), Asya Yaban Değneği, Sarı Kantaron, Küçük Çayır Düğmesi, Avrupa Yaban Değneği"
Sinir sistemini yatıştırır ve nörolojik sağlığı destekler,"Avrupa Yaban Değneği, Çin Yaban Değneği, Yarpuz, Su Nanesi, At Nanesi, Tarla Lahanası, Kara Hardal"
Uyku kalitesini artırır ve uyku düzenini sağlar,Kanada Yaban Değneği (Asarum Caudatum)
Kadın üreme sağlığını ve hormonal dengeyi destekler,"Yarpuz, Nane, Su Nanesi, Prostaglandin F2α Türevleri, Oksitosin"
Vücudu parazitlerden arındırmaya yardımcı olur,"Nane, Bahçe Nanesi, Su Nanesi, Yarpuz, Tıbbi Nane"
Cilt kaşıntısını ve irritasyonunu hafifletir,Tıbbi Nane
Kemik sağlığını destekler ve mineral emilimini artırır,Yasemin
Böbrek sağlığını ve fonksiyonlarını destekler,"Aerva Lanata, Ammania Baccifera, Bergenia Ligulata, Boerhavia Diffusa, Bryophyllum Pinnatum, Crateva Nurvala, Costus Spiralis, Tüylü Fıtık Otu, Holarrhena Antidysenterica, İstanbul Kekiği, Taşkıran Otu, Çörek Otu, Çörek Otu (Timokinon İçerikli)"
İştah artırıcı etkisiyle beslenmeyi destekler,"Karabiber, Beyaz Biber, Küçük Çayır Düğmesi"
Bilişsel işlevleri iyileştirir ve hafızayı güçlendirir,"Mercanköşk, Asya Yaban Değneği"
"Analjezik etkisiyle vücut, eklem, kas ve baş ağrılarını hafifletir","Mercanköşk, Çin Yaban Değneği, Asya Yaban Değneği, Himalaya Yaban Değneği, Tarla Lahanası, Kara Hardal, Sedef Otu, Lahana Türleri, Tatlı Mercanköşk, Siyah Hardal Tohumu, Karanfil, Yenibahar, Hardal Tohumu, Adaçayı, Nane, Kafur, Karanfil Çayı, Anadolu Adaçayı, Beyaz Biber"
Sindirim sistemini düzenler ve sindirim sağlığını destekler,"Küçük Çayır Düğmesi, Avrupa Yaban Değneği, Tarla Lahanası, Yalancı Aslanpençesi, Tarla Aslanpençesi, Sedef Otu, Kara Hardal, Hayıt, Hardal Tohumu, Lahana Türleri, Tıbbi Aslanpençesi, Su Nanesi, Tatlı Mercanköşk, Tıbbi Nane, Hibiskus, Bektaşi Üzümü, Seylan Tarçını, Anadolu Adaçayı, Ihlamur Odunu Kömürü, Kişniş, Frenk Kimyonu, Anason, Rezene, Melek Otu, Karanfil, Yenibahar, Mercanköşk, Çemen, Adaçayı, Nane, Çayır Düğmesi, Sarı Hardal Tohumu, Nar Kabuğu, Akdiken, Hint Yağı, Kroton Yağı, Keten Tohumu, Turunç, Asma Şarabı"
Hormonal dengeyi düzenleyerek kadın sağlığını ve menstrüel süreci destekler,"Küçük Çayır Düğmesi, Avrupa Yaban Değneği, Kanada Yaban Değneği (Asarum Canadense), Çemen Otu, Soğan, Biberiye, Anadolu Adaçayı, Hayıt, Kızıl Yonca, Çin Melek Otu, Civanperçemi, Tıbbi Aslanpençesi, İnce Saplı Aslanpençesi, Çayır Üçgülü, Kırmızı Yonca, Aslanpençesi, Karanfil, Mercanköşk, Hayıt Otu, Adaçayı, Siyah Hardal Tohumu, Yenibahar, Çayır Düğmesi"
"Sinir sistemi sağlığını destekler, stresi azaltır ve sakinleştirici etki sağlar","Avrupa Yaban Değneği, Kanada Yaban Değneği (Asarum Canadense), Çin Yaban Değneği, Tarla Lahanası, Kara Hardal, Yenibahar, Tıbbi Lavanta, Anadolu Adaçayı, Hayıt, Çarkıfelek, Melatonin İçeren Gıdalar (Mısır Gevreği), Vişne, Vb., Ihlamur, Sedef Otu, Tatlı Mercanköşk, Sarı Kantaron, Karanfil, Mercanköşk, Hardal Tohumu, Siyah Hardal Tohumu"
"Kardiyovasküler sağlığı korur, tansiyon ve kolesterol dengesini destekler","Asya Yaban Değneği, Küçük Çayır Düğmesi, Sarımsak, Biberiye, Anadolu Adaçayı, Seylan Tarçını, Çin Yaban Değneği, Lahana Sebzeleri, Hayıt, Melatonin Kaynaklı Gıdalar, Hardal Tohumu, Siyah Hardal Tohumu, Karanfil, Tatlı Mercanköşk, Tıbbi Nane, Dişotu, Tıbbi Aslanpençesi, Tarçın, At Kestanesi, Yenibahar, Mercanköşk, Çemen"
Saç ve saç derisi sağlığını güçlendirerek gelişimini destekler,"Sarımsak, Soğan, Hibiskus, Çemen Otu, Asya Yaban Değneği, Üzüm, Sophora Flavescens (Acı Kök), Ebu Cehil Karpuzu, Bektaşi Üzümü, Yalancı Papatya, Argan, Ginkgo Biloba, Kore Melek Otu, Biberiye, Lavanta, Tarla Lahanası, Kara Hardal, Siyah Hardal Tohumu, Isırgan Otu"
Vücuttaki iltihabı giderici (anti-enflamatuvar) etki sağlar,"Sarımsak, Soğan, Hibiskus, Çemen Otu, Asya Yaban Değneği, Sophora Flavescens (Acı Kök), Ebu Cehil Karpuzu, Bektaşi Üzümü, Ginkgo Biloba, Kore Melek Otu, Biberiye, Tıbbi Lavanta, Anadolu Adaçayı, Seylan Tarçını, Tarla Lahanası, Tıbbi Aslanpençesi, Sedef Otu, Hayıt, Melatonin Kaynaklı Gıdalar, Karanfil, Yenibahar, Mercanköşk, Aslanpençesi, Büyük Çayır Düğmesi"
Hücresel hasara karşı güçlü antioksidan koruma sağlar,"Sarımsak, Soğan, Hibiskus, Çemen Otu, Üzüm, Ebu Cehil Karpuzu, Yalancı Papatya, Kore Melek Otu, Biberiye, Tıbbi Lavanta, Anadolu Adaçayı, Seylan Tarçını, Tarla Lahanası, Kara Hardal, Tıbbi Aslanpençesi, Yenibahar, Sedef Otu, Hayıt, Domates, Kırmızı Biber, Ceviz"
Kan şekerini düzenleyerek metabolik sağlığı ve diyabet yönetimini destekler,"Sarımsak, Soğan, Hibiskus, Çemen Otu, Ebu Cehil Karpuzu, Yalancı Papatya, Ginkgo Biloba, Biberiye, Anadolu Adaçayı, Seylan Tarçını, Tarla Lahanası, Kara Hardal, Tıbbi Aslanpençesi, Tarçın, Sedef Otu, Hardal Tohumu, Zeytin, Uzun Yapraklı Nane, Kimyon, Tatlı Mercanköşk, Karanfil, Yenibahar, Çemen, Adaçayı, Karanfil Çayı, Turnagagası"
"Bilişsel fonksiyonları, hafızayı ve zihinsel odaklanmayı güçlendirir","Biberiye, Anadolu Adaçayı, Seylan Tarçını, Turnagagası, Avrupa Yabani Zencefili, İspanyol Adaçayı, Nane, Tıbbi Adaçayı, Karanfil"
Anti-kanserojen özellikleri ile hücresel koruma sağlar,"Sarımsak, Çemen Otu, Sophora Flavescens (Acı Kök), Ebu Cehil Karpuzu, Ginkgo Biloba, Kore Melek Otu, Biberiye, Tıbbi Lavanta, Anadolu Adaçayı, Seylan Tarçını, Tarla Lahanası, Kara Hardal, Tıbbi Aslanpençesi, Yenibahar, Sedef Otu, Hayıt, Siyah Hardal Tohumu, Kafur, Karanfil, Hardal Tohumu, Çoban Püskülü, Şerbetçiotu"
Mikroorganizmalara karşı güçlü antimikrobiyal koruma sağlar,"Sarımsak, Soğan, Hibiskus, Ebu Cehil Karpuzu, Bektaşi Üzümü, Biberiye, Tıbbi Lavanta, Anadolu Adaçayı, Hayıt, Seylan Tarçını, Tarla Lahanası, Kara Hardal, Tıbbi Aslanpençesi, Yenibahar, Sedef Otu"
Mantar enfeksiyonlarına karşı antifungal koruma sağlar,"Sarımsak, Üzüm, Biberiye, Tıbbi Lavanta, Anadolu Adaçayı, Hayıt, Seylan Tarçını, Tarla Lahanası, Kara Hardal, Hardal Tohumu"
Cinsel sağlığı ve hormonal dengeyi destekler,Çemen Otu
Böbrek ve üriner sistem sağlığını koruyarak idrar yollarını destekler,"Sarımsak, Seylan Tarçını, Lahana Türleri, Tarla Aslanpençesi"
Karaciğer sağlığını koruyucu (hepatoprotektif) etki sağlar,"Hibiskus, Ebu Cehil Karpuzu, Bektaşi Üzümü, Yalancı Papatya, Seylan Tarçını"
