Fayda,Taşlar
Duygusal travmaları şifalandırır ve duygusal denge sağlar,"Kaplan Gözü (Tiger’s Eye), Lapis Lazuli, Obsidyen (Obsidian), Oniks (Onyx), Amazonite (Amazonit), Abalone Shell, Tiffany Stone, Zincite (Zinsit), Akik, Tugtupit, Jasper, Amazonit, Kayısı Akik, Kiraz Kuvars, Lepidokrosit, Kuantum Quattro, Ateş Agat, Rodonit, Lepidolit, Pembe Opal, Yeşil Akik, Hiddenite, Kunzit, Süper Seven, Stibnite, Vavelit (Wavellite), Verdite, Scheelite, Cinnabar, Pembe Kuvars, Yeşil Yeşim, Yeşil Jasper"
"Göz sağlığını destekler, görme yetisini güçlendirir ve yorgunluğu giderir","Akik (Agate), Akuamarin (Aquamarine), Apofilit (Apophyllite), Auralite 23, Apophyllite (Apofilit), Ulexite (Üleksit), Akik, Ametist, Kalsit, Kedigözü Kuvars, Yeşil Beril, Skapolit, Viviyanit, Stromatolit, Tiffany Taşı, Uleksit, Apofilit, Akuamarin"
"Kadın sağlığını, hormonal dengeyi ve hamilelik sürecini destekler","Akik (Agate), Larimar, Ay Taşı (Moonstone), Aquamarine (Akuamarin), Grey Lace Agate, Dolomit, Ay Taşı, Verdite, Akik, Pembe Kalsit (Mangano), Kassiterit, Anhidrit, Jasper, Tugtupit, Zincite (Zinsit), Tiffany Stone, Akuamarin, Krizopras, Cinnabar, Zincite, Scheelite, Vulfenit, Ametist, Mavi Kalsedon"
Cilt sağlığını destekler ve cilt rahatsızlıklarının iyileşmesine yardımcı olur,"Akik (Agate), Agate (Akik), Ateş Akik, Ulexite (Üleksit), Wavellite, Verdite (Verdit), Pembe Yeşim, Akik, Kükürt (Sülfür), Aventurin, Hiddenite, Uleksit, Stilbit, Azurit, İskenderit, Glendonit, Epidot, Sitrin, Healerite, Skapolit, Viviyanit, Apatit, Kunzit, Rutil"
Vücuttaki sıvı dengesini düzenler ve ödem atar,"Anjelit (Angelite), Angelite (Anjelit), Mavi Turmalin, Wavellite"
"Detoks etkisi sağlayarak toksinlerin atılmasına yardımcı olur, karaciğer ve böbrekleri destekler","Black Opal, Bumblebee Jasper, Aktinolit, Ametist, Ametrine (Ametrin), Tugtupit, Azurite (Azurit), Canadian Jade, Green Garnet, Galena, Mavi Turmalin, Amazonit, Jasper, Sitrin, Turkuaz, Yeşim, Chrysocolla (Krizokol), Dumortierite, Healerite, Sunstone, Yeşil Turmalin, Ametrin, Krizopras, Azurit, Malahit, Kehribar, Kan Taşı, Anjelit, Dumanlı Kuvars, Yeşim Taşı"
"Kas ve eklem ağrılarını, krampları ve spazmları hafifletir","Chrysocolla (Krizokol), Dumortierite, Healerite, Sunstone, Brecciated Jasper, Aragonite (Aragonit), Yeşim Kalsit, Mahun Obsidyen, Zirkon, Larimar, Auralite-23, Amber (Kehribar), Green Goldstone, Green Quartz, Mavi Dantelli Akik, Krizokol, Tremolite, Charoite, Mavi Dantel Akik, Siyah Turmalin, Lepidolit, Stavrolit, Stibnite, Obsidyen"
Vücuttaki oksijen seviyelerini yükseltir,"Verdite (Verdit), Ametrine (Ametrin), Azurite (Azurite)"
"Ruhsal büyümeyi, dönüşümü ve kolektif şifayı destekler","African Turquoise, Bismuth, Verdite, Tremolite, Atlantisite, Brecciated Jasper, Zincite (Zinsit), Lal (Garnet), Wulfenite"
Endüstriyel ve teknolojik alanlarda iletkenlik sağlar,"Zincite (Zinsit), Galena"
İçeriğindeki minerallerle enerji dengesi sağlar,Vülfenit (Wulfenite)
"Bolluk, bereket, şans and başarıyı çeker","Aqua Aura Kuvars, Süper Yedi, Scapolite, Scheelite, Cinnabar, Uvarovit, Sitrin, Stromatolit, Kaplan Gözü, Jasper, Siderit, Ametrin"
Diğer kristallerin enerjisini temizler ve şarj eder,"Kristal Kuvars, Fenasit, Manyezit, Moldavit"
"Sezgileri, psişik farkındalığı ve üçüncü göz aktivasyonunu güçlendirir","Cavansite (Kavansit), Kammererite (Kemererit), Phenacite, Opal, Turkuvaz, Safir, Kovelit, Fenakit, Natrolit, Altın Azeztulite Kristalleri, Sanda Rosa Azeztulite, Kavansit, Kovellit, Hanksit, Jeremejevite, Kornerupin, Götit, Goshenit, Hessonite, Kakoksenit"
Negatif enerjilere ve psişik saldırılara karşı koruma sağlayarak aurayı dengeler ve korur,"Cassiterite (Kassiterit), Copal (Kopal), Cavansite (Kavansit), Kammererite (Kemererit), Moldavite, Selenit, Benekli Kalsedon (Polka Dot), Metamorfoz Kuvars, Tibet Siyah Kuvars, Libya Çöl Camı, Sardoniks, Siyah Turmalin, Obsidiyen, Akik, Pirit, Kriyolit, Karnelyan"
"Stres, kaygı ve anksiyeteyi hafifleterek derin bir huzur ve sükunet sağlar","Cassiterite (Kassiterit), Cavansite (Kavansit), Rosophia, Blue Cassiterite, Ametist, Yeşim, Selestin, Kriyolit, Kuprit, Kornerupine, Libethenite, Safir, Selestit, Kalsedon, Çilek Kuvars, Libya Çöl Camı, Aku Aura Kuvars, Sanda Rosa Azeztulite, Kloritli Kuvars, Varisit, Cavansit, Cuprite, Goshenit, Kornerupin, Klinozoisit, Hiddenite, Götit, Hessonite, Kunzit, Lepidokrosit"
Hormonal sistemi ve endokrin bezlerini dengeleyerek iç salgı bezi sağlığını destekler,"Cassiterite (Kassiterit), Cavansite (Kavansit), Cacoxenite, Crocoite, Sitrin, Hessonit, Anhidrit, Kalsiterit, Aytaşı, Krizopras, Goşenit, Hemimorfit, Siyah Turmalin, Cassiterite, Cuprite, Kammererit, Limonit, Krokoit, Libetenit"
Metabolizmayı düzenleyerek kilo kontrolünü destekler ve sağlıklı beslenme alışkanlığı kazandırır,"Cassiterite (Kassiterit), Sanda Rosa Azeztulite, Crocoite, Kornerupine, Apatit, Gaspeit, Picasso Jasper, Gül Kuvars, Epidot, Hiddenit, Anjelit, Kalkopirit, Hanksit"
"Kas, eklem ve kemik ağrılarını hafifleterek fiziksel iyileşmeyi ve iskelet sistemini destekler","Copal (Kopal), Kammererite (Kemererit), Bişofit, Kuprit, Limonite, Creedite, Grossular Garnet, Mavi Dantel Akik, Krisokolla, Mondolit Kuvars, Kammererit, Tuz Lambası, Hiddenite, Kaya Tuzu, Götit, Sonsuzluk Taşı, Kalkopirit"
Vücuttaki iltihapları gidermeye yardımcı olur ve antiviral direnç sağlar,"Copal (Kopal), Cavansite (Kavansit)"
Kanser tedavi süreçlerinde hücresel yenilenmeye ve ruhsal dayanıklılığa destek sağlar,"Copal (Kopal), Kammererite (Kemererit), Sanda Rosa Azeztulite, Covellite, Kovelit, Epidot, Jeremejevite, Kemererit, Klorit"
Geçmiş yaşam anılarına ve Akaşik kayıtlara erişimi kolaylaştırarak ruhsal keşif sağlar,"Cavansite (Kavansit), Libyan Gold Tektite, Oregon Opal, Kammererite (Kemererit), Libya Çöl Camı, Tanzan Aura Kuvars, Kredid (Creedite), Nuummite, Melek Aura Kuvars, Andaluzit, Siyah Kyanit"
"Boşaltım sistemi, böbrek ve karaciğer fonksiyonlarını destekleyerek organ sağlığını korur","Cavansite (Kavansit), Creedite, Limonite, Libya Çöl Camı, Kuprit, Aktinolit, Karnelyan, Siyah Opal, Bumblebee Jasper, Konikalsit, Goshenit, Dumanlı Kuvars"
"Göz, kulak ve duyuyu organlarının sağlığını destekleyerek işlevlerini iyileştirir","Cavansite (Kavansit), Covellite, Akik, Ametist, Kalsit, Kedi Gözü Kuvars, Fenster Kuvars, Apatit, Goşenit, Hessonite (Gomed), Kavansit"
"Diş ve diş eti sağlığını korur, kemik ve diş yapısını güçlendirir","Copal (Kopal), Cavansite (Kavansit), Satürn Taşları, Amazonit, Apatit, Kalsit, Florit, Glendonit, Zebra Jasper, Dendritik Akik, Mavi Dantel Akik"
Üreme sağlığını ve doğurganlığı destekleyerek hormonal denge sağlar,"Copal (Kopal), Kammererite (Kemererit), Covellite, Kuprit, Akik, Akuamarin, Klevlandit, Malahit, Goşenit, Hemimorfit, Garnet, Kovellit"
"Cilt sağlığını korur, deri hastalıklarının iyileşmesine ve hücre yenilenmesine yardımcı olur","Copal (Kopal), Cavansite (Kavansit), Kuprit (toz formu), Akik, Ateş Akik, Kalsit, Pembe Yeşim, Sodalit, Akuamarin, Pembe Kuvars, Mavi Mercan, Konikalsit, Kaya Tuzu (Tuz Sabunu)"
Sindirim sistemini düzenleyerek mide ve bağırsak sağlığını destekler,"Cacoxenite, Kammererite (Kemererit), Libya Çöl Camı, Kornerupine, Limonite, Akik, Ateş Akik, Turritella Akik, Jasper, Bizmut, Sarı Jasper, Prehnit, Kaya Tuzu, Hessonite, Limonit, Kakoksenit"
İletişim becerilerini ve kendini ifade etme yeteneğini güçlendirir,"Cavansite (Kavansit), Copal (Kopal), Turkuvaz, Kyanit, Aqua Aura Kuvars, Ohio Selestit, Mavi Kiyanit, Krizokol Kuprit, Kriyolit, Krizoberil, Mavi Dantel Akik, Goshenit"
"Zihinsel netlik, odaklanma ve konsantrasyonu artırarak bilişsel yetenekleri güçlendirir","Cassiterite (Kassiterit), Copal (Kopal), Cavansite (Kavansit), Kuprit, Lapis Lazuli, Yeşim, Safir, Kornerupine, Kriyolit, Kaplan Gözü, Libethenite, Agni Altın Danburit, Ohio Selestit, Afrika Turkuazı, Şeffaf Kuvars, Aragonit, Kloritli Kuvars, Florit, Goshenit, Kornerupin, Hessonite, Kasiterit, Limonit, Kalkopirit, Ilvait, Sonsuzluk Taşı, Kalsit, Stellar Beam Kalsit, Kristal Kuvars, Goşenit, Stilbit, Azurit"
"Duygusal travmaları, blokajları ve kederi iyileştirerek içsel huzur sağlar","Cavansite (Kavansit), Cassiterite (Kassiterit), Kammererite (Kemererit), Oregon Opal, Rosophia, Pembe Kuvars, Kornerupine, Yeşim, Rodonit, Lemurian Quartz, Libethenite, Creedite, Morganit, Çilek Kuvars, Sanda Rosa Azeztulite, Nuummite, Tsavorite, Apaçi Gözyaşı, Kobaltlı Kalsit, Grösüler Garnet, Kloritli Kuvars, Cuprite, Kammererit, Kornerupin, Kasiterit, Klinozoisit, Hiddenite, Götit, Jeremejevite"
"Bolluk, bereket ve hedeflerin gerçekleşmesi için gereken tezahür enerjisini güçlendirir","Cassiterite (Kassiterit), Copal (Kopal), Yeşim, Turkuvaz, Pırlanta, Sitrin, Libya Çöl Camı, Sardoniks, Tsavorit Garnet, Pirit, Fenakit, Heliodor, Altın Labradorit, Altın Azeztulit, Agni Altın Danburit, Opal, Siyah Akik, Aventurin, Selestit, Kan Taşı, Kaplan Gözü, Grösüler Garnet, Yeşil Garnet, Cassiterite, Jeremejevite, Kornerupin, Hessonite, Sonsuz Taş, Kalkopirit"
Fiziksel stabilite ve topraklanma sağlayarak dünya ile olan bağı güçlendirir,"Cassiterite (Kassiterit), Copal (Kopal), Kammererite (Kemererit - Götit bileşeni), Cuprite, Limonite"
Baş ağrısı ve migren semptomlarını hafifletmeye yardımcı olur,"Cavansite (Kavansit), Copal (Kopal), Ametist, Bixbyite, Herderit, Apatit, Hemimorfit, Mavi Topaz, Kloritli Kuvars, Goshenit, Kavansit, Kopal Reçinesi, Sonsuzluk Taşı"
"Çakraları temizler, dengeler ve enerji merkezlerini hizalar","Copal (Kopal), Kammererite (Kemererit), Cassiterite (Kassiterit), Selenite"
Kan dolaşımını düzenleyerek kalp sağlığını ve ritmini destekler,"Copal (Kopal), Cavansite (Kavansit), Rosophia, Yakut, Cuprite, Lemurian Quartz, Kornerupine, Limonite, Verdit, Karnelyan, Turmali Albit, Kan Taşı, Krisokolla, Hessonite, Hiddenite, Limonit, Halit Minerali, Kopal Reçinesi, Goşenit, Kloritli Kuvars, Amolit, Kalsit, Cinnabar, Spessartine Garnet, Kunzit, Zümrüt, Yeşil Turmalin, Creedite, Goshenit"
"Özgürlük, güçlenme ve çaresizlikten kurtulma hissi verir","Cavansite (Kavansit), Cassiterite (Kassiterit), Kammererite (Kemererit)"
Reddedilme ve terk edilme gibi çocukluk yaralarını iyileştirir,Cassiterite (Kassiterit)
"Astral seyahat, lüsid rüya ve ruhsal yolculukları destekler","Cassiterite (Kassiterit), Kammererite (Kemererit), Kovelit, Cryolite, Stavrolit, Rhodozit, Selestit, Barit, Kavansit, Goşenit, Kammererit, Ay Taşı, İyolit, Prehnit, Danburit"
"Dekoratif amaçlı, süs eşyası veya nadir koleksiyon parçası olarak değerlendirilir","Kammererite (Kemererit), Yeşil Aventurin, Jasper, Kalsedon, Pembe Kuvars"
Ruhsal geçiş süreçlerinde sükunet sağlar ve manevi huzur verir,Cassiterite (Kassiterit)
Tıbbi uygulamalarda ve sindirim boşaltım süreçlerinde yardımcı madde olarak kullanılır,"Bambu opalı, Mirabilit, Zinober"
Cinsel enerjiyi dengeler ve afrodizyak etkisiyle libidoyu destekler,Bambu opalı
Belirli koşullarda insan sağlığına zararlı veya toksik risk taşıyan içerikler barındırır,"Aktinolit, Riyebekit, Grunerit (Amozit), Amyant, Grunerit, Serpantin"
Bağımlılıklardan kurtulma sürecini destekler ve kötü alışkanlıklarla mücadeleye yardımcı olur,"Cassiterite (Kassiterit), Kuprit, Kehribar, Barit, İolit, Lepidolit, Ametist, Cuprite, Aegirine, Hiddenite, Konikalsit"
Uyku kalitesini artırarak uykusuzluk ve kabuslara karşı koruma sağlar,"Copal (Kopal), Tibet Siyah Kuvars, Sanda Rosa Azeztulit, Staurolite, Ametist, Akik, Lapis Lazuli, Havlit, Libya Çöl Camı, Ay Taşı, Selestit, Lepidolit, Dumanlı Kuvars, Ay taşı, Mavi Kalsit, Danburit, Goşenit, Tanzanit, Kalsedon, Siyah Turmalin, Yeşim, Afganit, Auralite 23, Yıldız Mika, Sanda Rosa Azeztulite, Tuz Lambası, Infinite"
Vücudu ve kanı toksinlerden arındırarak fiziksel detoks sağlar,"Kammererite (Kemererit), Covellite, Cuprite, Ametrin, Aktinolit, Dolomit, Florit, Sarı Jasper, Şungit, Sülfür, Pirit, Grösüler Garnet, Yeşil Garnet, Hanksit, Kammererit, Konikalsit, Klinozoisit, Goşenit"
Vitamin ve mineral emilimini artırarak vücudun besin değerlerinden faydalanmasını sağlar,"Kammererite (Kemererit), Creedite"
"Beyin kapasitesini (telepati, psikokinezi) ve dalgalarını güçlendirir","Phenacite, Herderite, Copal (Kopal)"
Manevi ritüellerde ortam enerjisini temizlemek amacıyla tütsü formunda kullanılır,Copal (Kopal)
Doğal bir magnezyum kaynağı olarak mineral desteği sağlar,Bişofit
Vücut ısısını dengelemeye ve yüksek ateşi düşürmeye yardımcı olur,Limonite
Başkalarının eylemlerine karşı yargılamayı bırakmaya yardımcı olur,Libya Çöl Camı
Beden ve kalp arasındaki bağı güçlendirir,Kriyolit
Beynin sağ ve sol yarım kürelerini dengeler,"Manyetit, Tanzan Aura Kuvars"
Bünyesel ağırlık hissini ortadan kaldırma,Libya Çöl Camı
Cinsel enerjiyi dengeler ve cinsel travmaların iyileşmesine yardımcı olur,"Karnelyan, Asa Kuvars, Turuncu Kalsit"
Dehidrasyonu (susuzluk) giderme,Limonite
Doğa ruhları ve perilerle iletişim kurmayı sağlar,"Staurolite, Sonsuzluk Taşı (Infinite), Yeşil Kiyanit, Yeşil Apofilit"
Dormant (uyuyan) yetenekleri uyandırma,Cryolite
"Duygusal berraklığı, dayanıklılığı ve değişim sürecine güveni artırır",Kovelit
Duygusal dengelemeye yardımcı olur,"Kriyolit (Chiolite ile birlikte), Kornerupine"
En derin korkularla yüzleşmeye ve onları aşmaya yardımcı olur,Kriyolit (Galena ile birlikte)
"Fiziksel gücü, zindeliği ve yaşam enerjisini (chi/prana) artırır","Kuprit, Kornerupine, Lal Taşı (Almandin), Akik, Kaplan Demiri, Dragon Taşı, Ateş Akik, Karnelyan, Garnet, Turuncu Kalsit, Vanadinit, Şiva Lingam, Kloritli Kuvars, Hessonite, Limonit, Kalkopirit, Götit, Goshenit"
Entelektüel gücü ve iyi şansı artırır,Pirit
Ertelenen plan ve kararların takibini kolaylaştırır,Creedite
Eterik bedendeki sızıntıları ve delikleri kapatır,Sonsuzluk Taşı (Infinite)
"Geçmiş travmaları, sınırlayıcı inançları ve negatif kalıpları serbest bırakmaya yardımcı olur","Kovelit, Kornerupine"
Gelecek öngörü yeteneğini artırma,Cryolite
"Yaratıcılığı, hayal gücünü ve ilhamı artırarak motivasyon sağlar","Opal, Turkuvaz, Akik, Yeşim, Kovelit, Libya Çöl Camı, Turuncu Kredid (Creedite), Ferro Aktinolit, Apatit, Ametrin, Siyah Diyaptaz, Dumortierit, Manyezit, Grösüler Garnet, Yeşil Garnet, İlvaite, Çinko, Cuprite, Goshenit, Kornerupin, Konikalsit, Krokoit"
Hayallerin gerçekleştirilmesi ve içsel yansıma,Covellite
İlhamın gerçekleşmesi için eylemi ve başarıyı destekler,Pirit
İrade gücünü artırır,Libya Çöl Camı
Kadim bilgi ve bilgelikle bağlantı kurmayı sağlar,"Libya Çöl Camı, Aqua Lemuria"
Kan detoksifikasyonuna yardımcı olur,Creedite
"Özgüveni, özsaygıyı ve kişisel gücü artırarak bireysel farkındalığı güçlendirir","Lal Taşı (Almandin), Akik, Rosophia, Stronsiyanit, Ejderha Taşı, Crocoite, Libethenite, Kuprit, Sitrin, Sardonyx, Dragon Taşı, Karnelyan, Agni Manitite, Grösüler Garnet, Yeşil Garnet, Tsavorit Garnet, Libya Çöl Camı, Klinozoisit, Hessonite, Ilvaite, Kalkopirit"
Kontrol edilemeyen şeyleri bırakmayı ve kişisel mutluluğu yaratmayı öğretir,Libya Çöl Camı
"Kök çakrayı dengeler, güvenlik ve fiziksel canlılık sağlar","Kızıl Kuprit, Ejderha Taşı, Sardoniks, Manyetit"
Kundalini enerjisinin yükselmesini ve ruhsal enerji aktivasyonunu sağlar,"Sonsuzluk Taşı (Infinite), Stronsiyanit, Kuprit, Kriyolit, Crocoite, İnfinite (Sonsuzluk Taşı), Atlantisite, Krokoit"
Melankoliyi dağıtır ve duygusal sakinlik getirir,Kuprit
Mucizelerin tezahürünü teşvik eder,Kovelit
Psişik ve sezgisel yeteneklere uyum sağlama,"Kovelit, Cryolite, Creedite, Libya Çöl Camı"
Sabır ve sebat verir,"Lal Taşı, Yeşim"
"Üçüncü Göz, Taç ve eterik çakraları aktive eder","Creedite, Fenakit, Natrolit, Azeztulit, Herderit, Satyaloka Kuvars, Altın Garnet, Stronsiyanit"
"Yorgunluk, depresyon ve inisiyatif eksikliğini hafifletir","Sonsuzluk Taşı (Infinite), Okyanus Jasper, Aqua Aura Kuvars, Creedite"
Zorluklar karşısında sabır ve sebat verir,"Lal Taşı, Yeşim"
"Negatif enerjilere, psişik saldırılara ve nazara karşı koruma sağlar.","Moldavit, Tibet Siyah Kuvars, Sardonyx, Obsidiyen, Kehribar (Amber), Ametist, Apaçi Gözyaşı, Libya Çöl Camı, Ilvaite, Kloritli Kuvars, Aegirine, Hanksit, Kasiterit, Lal (Garnet), Götit, Goshenit, Hessonite"
Elektromanyetik (EMF) radyasyona karşı koruma kalkanı oluşturur,"Amazonit, Florit, Lepidolit, Şungit, Dumanlı Kuvars, Jasper, Barit, Klinozoisit"
"Aura alanını temizler, çakraları dengeler ve hizalar.","Metamorfoz Kuvars, Selenit, Akuamarin, Barit, Girasol, Hemimorfit, Serpentine, Ruh Kuvarsı, Angel Dust Kuvars, Creedite, Kassiterit, Hessonite"
"Endüstriyel üretimde hammadde, yalıtkan veya yapı malzemesi olarak kullanılır","Albit, Anortoklaz, Apatit, Boraks, Kolemanit, Kaolin, Kaolinit, Spodümen, Talk, Aktinolit, Amfibol, Amyant, Andalüzit, Badeleyit, Almandin, Boksit, Diyaspor, Korund, Akik, Alüminit, Barit, Bentonit, Lületaşı, Manyezit, Götit, Klorit, Disten, Biyotit, Kuvars, Küprit, Bişofit, Laterit, Florit, İnci, Alünit, Keynit, Trona"
Bağışıklık sistemini güçlendirir ve hastalıklara karşı direnci artırır,"Afganit, Aktinolit, Almandin Garnet, Altın Şifacı Kuvars, Anyolit (Yakutlu Zoisit), Atakamit, Ajoite, Beril, Chevron Ametist, Garnet (Lal), Golden Healer, Siyah Turmalin, Unakit, Varisit, Yakut, Yosun Akiği, Zirkon, Zoisit, Zümrüt, Tanzanit, Topaz, Turmalin, Ajoit, Almandin Granat, Hematoid Kuvars, Sodalit, Unakite, Aleksandrit, Andalusit, Sugulit, Spinel, Lal (Garnet), Yosun Akik, Kehribar, Ametist, Kalsedon, Kar Kuvarsı, Quantum Quattro, Almandin, Tektit, Boraks, Realgar, Sinober, Stibnit, Ametrin, Şevron Ametist, Mavi Kalsedon, Andradit Garnet, Safir, Yeşil Opal, Kunzit, Mondolite Kuvars, Alexandrite, Garnet (Lal Taşı), Granat (Lal Taşı)"
Stres ve kaygıyı azaltarak duygusal denge ve huzur sağlar,"Adamit, Afganit, Ajoite, Almandin Garnet, Alexandrite, Altın Şifacı Kuvars, Andalusit, Anyolit, Atakamit, His Taşı, Turmalin Kuvars, Unakit, Varisit, Yosun Akik, Zirkon, Zümrüt, Aktinolit, Aleksandrit, Almandin, Andaluzit, Aventurin, Montana Akik, Opal, Yeşim, Tanzanit, Anyolit (Yakutlu Zoisit), Sodalit, Topaz, Turmalin, Mistik Topaz, Unakite, Yosunlu Akik, Almandin Granat, Spinel, Astrophyllite, Mavi Dantelli Akik, İnci, Rodonit, Altın Kuvars, Sugilite, Papagoite, Shattuckite, Rose Quartz, Variscite, Aksinit, Andalusite, Atakamite, Ajoit, Garnet (Lal Taşı), Adamin (Adamite), Ejinir (Aegirine), Galena, Siyah Turmalin, Vanadinit, Botsvana Akik, Pembe Dantel Akik, Lityum Kuvars, Lepidolit, Markasit (Brandberg) Ametisti, Ay Taşı, Kunzit, Atakamit (Atakamite)"
"Özgüveni, cesareti ve kişisel karizmayı artırır","Adamite, Afganit, Aktinolit, Alexandrite, Almandin Garnet, Altın Sarı Apatit, Andalusit, Anyolit (Yakutlu Zoisit), Golden Healer, Oniks, Unakit, Varisit, Yakut, Vanadinit, Zirkon, Tanzanit, Aleksandrit, Almandin, Altın Şifacı Kuvars, Zümrüt, Sodalit, Sugulit, Turmalin, Rubizoit, Spinel, Topaz, Ajoite, Thulite, Siyah Spinel, İmparatorluk Topazı, Astrofilit, Yosunlu Akik, Sitrin, Kaplan Gözü, Kırmızı Jasper, Karnelyan, Aktinolit (Actinolite), Ferro Aktinolit, Astrofilit (Astrophyllite), Aksinit (Axinite), Kopal Kehribar, Hematoid Kalsit"
"Kalp sağlığını korumak, kalp rahatsızlıklarını iyileştirmek ve çarpıntıyı gidermek","Ajoite, Almandin, Anyolit, İnci, Kehribar, Mercan, Unakit, Varisit, Yakut, Yosunlu Akik, Zümrüt"
İletişim becerilerini ve kendini ifade etme gücünü geliştirir,"Adamite, Afganit, Ajoite, Alexandrite, Almandin Garnet, Andalusit, Atakamit, Mavi Dantelli Akik, Tanzanit, Yosunlu Akik, Zirkon, Zümrüt, Sodalit, Varisit, Mistik Topaz, Topaz, Thulite, Afghanite, Zoisit, Anyolit, Yeşil Turmalin (Verdalit), Papagoite, Shattuckite (Phoenix Stone), Lapis Lazuli, Andalusite, Adamit, Aksinit, Atakamit (Atakamite), Renkli Akik, Mavi Kalsedon, Septarian"
"Uyku kalitesini artırır, uykusuzluğu ve kabusları giderir","Afganit, Aktinolit, Almandin, Alexandrite, Ametist, Andalusit, Auralite 23, Golden Healer, Havlit, Turmalin Kuvars, Varisit, Yosunlu Akik, Zirkon, Sugulit, Turmalin, Anyolit, Rubizoit, Zümrüt, Atakamit, Topaz, Zoisit, Sodalit, Yakut, Hematoid Kuvars, Pembe Dolomit, Şap, Florit, Mıknatıs Taşı, Sinober, Lapis Lazuli, Muskovit, Firuze, Lacivert Taşı, İnci, Aytaşı, Yeşim, Lal, Havlit (Howlite), Mavi Kuvars, Gökkuşağı Ay Taşı, Mavi Dantel Akik (Blue Lace Agate), Pembe Kalsit, Limon Krizopraz, Spessartine Garnet, Beyaz Ay Taşı, Dalmaçya Jasper, Almandin Garnet, Garnet (Lal Taşı), Axinite, Staurolite, Scolecite, Angelite, Ruby"
Hormonları dengeler ve endokrin sistem fonksiyonlarını destekler,"Adamite, Ajoite, Aleksandrit, Almandin, Anhidrit, Anyolit, Andalusit, Ametist, Astrophyllite, Atakamit, Kavansit, Unakit, Vanadinit, Zirkon, Sugilit, Granat (Lal), Topaz, Adamit, Tanzanit, Turmalin, Ay Taşı, Kasiterit, Pietersit, Anhidrit (Anhydrite), Kasiterit (Cassiterite), Limon Krizopraz, Pembe Jasper, Almandin Garnet, Altın Şifacı Kuvars, Astrofilit, Axinite"
Karaciğer ve böbrek fonksiyonlarını destekleyerek organ sağlığını korur,"Aktinolit, Almandin Garnet, Amestist, Astrofilit, Atakamit, Azurit, Azurit-Malakit, Gözlere, Kan Taşı, Kehribar, Kırmızı Mercan, Malakit, Opal, Prenit, Rodokrozit, Sitrin, Varisit, Yakut, Yeşim, Zirkon, Zümrüt, Astrophyllite, Sugulit, Beril, Hematit, İyolit, Ametist, Kalsit, Elmas, İnci, Kuvars, Jasper, Hafif Toz, Talk, Prehnit, Vanadinit, Aktinolit (Actinolite), Amazonit, Kan Taşı (Bloodstone), Krizopraz (Chrysoprase), Limon Krizopraz, Ay Taşı, Siyah Ay Taşı, Serafinit (Seraphinite), Altın Şifacı Kuvars, Azurit-Malakiit, Krisopraz, Limon Krisopraz, Siyah Aytaşı, Serafinit"
"Kas ve kemik yapısını güçlendirir, fiziksel ağrıları dindirir","Afganit, Alexandrite, Andalusit, Anyolit (Yakutlu Zoisit), Axinite, Bronzit, Kalsit, Varisit, Vesuvianite (Vezüvyan), Yakut, Yosunlu Akik, Zirkon, Aragonit, Anyolit, Spinel, Taşlaşmış Ağaç, Zoisit, Vesuvianite, Bal rengi Akis, Şap, Pirit, Mavi Dantelli Akik, Kehribar, Kalkit, Selenit, İnci, Akik, Aquamarine, Elmas, Mercan, Akik (Rabti), Apatit, Yeşil Kalsit, Creedite, Glendonit, Mamut Fildişi, Şungit, Sugulit, Turmalin, Aktinolit, Andaluzit, Zümrüt, Topaz, Turkuaz, Manyetit, Azurit-Malakit, Kuvars (Jasper), Kiyanit, Obsidyen, Krizokol, Almandin, Lal (Garnet), Tanzanit, Hematit, Kridit (Creedite), Florit, Faden Kuvars, Almandin Garnet, Granat (Lal Taşı), Ajoite"
"Negatif enerjiyi uzaklaştırır, aurayı temizler ve spiritüel koruma sağlar","Ajoite, Aktinolit, Almandin, Anyolit, Astrofilit, Atakamit, Ateş Akiği, Kehribar, Mercan, Turmalin, Turmalinli Kuvars, Varisit, Yakut, Zirkon, Zümrüt, Şungit, Mistik Topaz, Topaz, Spinel, Ajoit, Andaluzit, Sugulit, Astrophyllite, Adamite, Siyah Spinel, Aksinit, Aleksandrit, Altın Şifacı Kuvars, Almandin Granat, Bal rengi Akis, Ateş Akik, Elmas, Safir, Siyah Turmalin, Yosunlu Akik, Kükürt, Yeşim, Labradorite, Almandin Garnet, Black Tourmaline, Andalusite, Alexandrite, Aegirine, Aktinolit (Kuvars içinde), Afganit, Ametist, Florit, Selestit (Celestite), Kaplan Gözü, Selenit, Tibet Kuvarsı, Spiritüel Kuvars, Atakamit (Atakamite)"
"Hamilelik, doğum ve üreme sağlığını destekleyerek doğurganlığı artırır","Akik, Azurit, İnci, Kehribar, Unakit, Ajoite, Almandin Garnet, Anyolit, Astrophyllite, Ateş Akiği, Garnet (Lal), Yakut, Vanadinit, Zirkon, Zoisit, Zümrüt, Unakite, Rubizoit, Varisit, Almandin Granat, Granat (Lal), Ateş Akik, Akik (Karnelyan), Mercan, Aytaşı, Selenit, Almandin, Yeşim, Kan Taşı, Yosunlu Akik, Granat (Lal Taşı), Abalone"
